"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Lämpötilan keskiarvo [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]","Suhteellisen kosteuden keskiarvo [%]","Keskituulen nopeus [m/s]","Kovin keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Kovin puuska [m/s]","Tunnin sademäärä [mm]","Ilmanpaineen keskiarvo [hPa]"
"Lappeenranta Lepola","2024","3","24","04:00","0.3","0.3","0.3","99","-","-","-","-","0","994.6"
"Lappeenranta Lepola","2024","3","24","05:00","0.4","0.4","0.3","99","-","-","-","-","0","994.7"
"Lappeenranta Lepola","2024","3","24","06:00","0.5","0.6","0.4","99","-","-","-","-","0","994.9"
"Lappeenranta Lepola","2024","3","24","07:00","0.8","1","0.6","98","-","-","-","-","0","995.3"
"Lappeenranta Lepola","2024","3","24","08:00","1","1.2","0.9","94","-","-","-","-","0","995.5"
"Lappeenranta Lepola","2024","3","24","09:00","1.5","1.9","1.2","90","-","-","-","-","0","995.7"
"Lappeenranta Lepola","2024","3","24","10:00","2.1","2.5","1.8","82","-","-","-","-","0","995.9"
"Lappeenranta Lepola","2024","3","24","11:00","2.7","2.9","2.4","70","-","-","-","-","0","995.8"
"Lappeenranta Lepola","2024","3","24","12:00","2.7","2.9","2.6","71","-","-","-","-","0","995.9"
"Lappeenranta Lepola","2024","3","24","13:00","2.5","2.9","2.1","76","-","-","-","-","0","995.9"
"Lappeenranta Lepola","2024","3","24","14:00","2.4","2.5","2.1","78","-","-","-","-","0","995.9"
"Lappeenranta Lepola","2024","3","24","15:00","2.1","2.4","2","81","-","-","-","-","0","996.1"
"Lappeenranta Lepola","2024","3","24","16:00","1.9","2.1","1.8","83","-","-","-","-","0","996.5"
"Lappeenranta Lepola","2024","3","24","17:00","1.3","1.8","0.9","86","-","-","-","-","0","996.7"
"Lappeenranta Lepola","2024","3","24","18:00","0.7","0.9","0.5","90","-","-","-","-","0","996.8"
"Lappeenranta Lepola","2024","3","24","19:00","0.5","0.5","0.4","90","-","-","-","-","0","996.9"
"Lappeenranta Lepola","2024","3","24","20:00","0.4","0.6","0.2","90","-","-","-","-","0","997"
"Lappeenranta Lepola","2024","3","24","21:00","0.4","0.5","0.2","89","-","-","-","-","0","996.9"
"Lappeenranta Lepola","2024","3","24","22:00","0.3","0.5","0","89","-","-","-","-","0","996.7"
"Lappeenranta Lepola","2024","3","24","23:00","0","0","0","93","-","-","-","-","0","996.7"
"Lappeenranta Lepola","2024","3","25","00:00","0","0.1","-0.1","94","-","-","-","-","0","996.7"
"Lappeenranta Lepola","2024","3","25","01:00","0","0.2","-0.2","92","-","-","-","-","0","996.9"
"Lappeenranta Lepola","2024","3","25","02:00","-0.3","-0.1","-0.5","93","-","-","-","-","0","996.9"
"Lappeenranta Lepola","2024","3","25","03:00","-0.4","0","-0.6","89","-","-","-","-","0","997"
"Lappeenranta Lepola","2024","3","25","04:00","-0.4","-0.3","-0.5","87","-","-","-","-","0","997.2"
"Lappeenranta Lepola","2024","3","25","05:00","-0.4","-0.4","-0.5","89","-","-","-","-","0","997.7"
"Lappeenranta Lepola","2024","3","25","06:00","-0.4","-0.1","-0.5","93","-","-","-","-","0","998.1"
"Lappeenranta Lepola","2024","3","25","07:00","-0.1","0","-0.1","90","-","-","-","-","0","998.7"
"Lappeenranta Lepola","2024","3","25","08:00","-0.1","0.2","-0.3","88","-","-","-","-","0","999.4"
"Lappeenranta Lepola","2024","3","25","09:00","0","0.2","-0.1","85","-","-","-","-","0","1000"
"Lappeenranta Lepola","2024","3","25","10:00","0.4","0.8","0.2","83","-","-","-","-","0","1000.6"
"Lappeenranta Lepola","2024","3","25","11:00","0.7","0.9","0.3","80","-","-","-","-","0","1001.1"
"Lappeenranta Lepola","2024","3","25","12:00","0.9","1.3","0.5","76","-","-","-","-","0","1001.5"
"Lappeenranta Lepola","2024","3","25","13:00","1.3","1.5","1.1","72","-","-","-","-","0","1002"
"Lappeenranta Lepola","2024","3","25","14:00","1.3","1.5","1.1","69","-","-","-","-","0","1002.5"
"Lappeenranta Lepola","2024","3","25","15:00","1.1","1.1","0.9","66","-","-","-","-","0","1003"
"Lappeenranta Lepola","2024","3","25","16:00","0.9","1","0.7","69","-","-","-","-","0","1003.5"
"Lappeenranta Lepola","2024","3","25","17:00","0.4","0.7","0.2","69","-","-","-","-","0","1004.1"
"Lappeenranta Lepola","2024","3","25","18:00","0","0.1","-0.2","71","-","-","-","-","0","1004.7"
"Lappeenranta Lepola","2024","3","25","19:00","-0.4","-0.2","-0.6","73","-","-","-","-","0","1005.3"
"Lappeenranta Lepola","2024","3","25","20:00","-0.7","-0.6","-0.8","71","-","-","-","-","0","1005.8"
"Lappeenranta Lepola","2024","3","25","21:00","-0.9","-0.8","-0.9","70","-","-","-","-","0","1006.1"
"Lappeenranta Lepola","2024","3","25","22:00","-0.9","-0.8","-1","70","-","-","-","-","0","1006.4"
"Lappeenranta Lepola","2024","3","25","23:00","-1.1","-1","-1.1","69","-","-","-","-","0","1006.9"
"Lappeenranta Lepola","2024","3","26","00:00","-1.1","-1.1","-1.2","68","-","-","-","-","0","1007.4"
"Lappeenranta Lepola","2024","3","26","01:00","-1.4","-1.1","-1.6","70","-","-","-","-","0","1007.7"
"Lappeenranta Lepola","2024","3","26","02:00","-1.7","-1.6","-1.7","71","-","-","-","-","0","1008.2"
"Lappeenranta Lepola","2024","3","26","03:00","-1.7","-1.7","-1.8","72","-","-","-","-","0","1008.3"
"Lappeenranta Lepola","2024","3","26","04:00","-1.8","-1.7","-1.8","73","-","-","-","-","0","1008.7"
"Lappeenranta Lepola","2024","3","26","05:00","-1.8","-1.7","-1.8","74","-","-","-","-","0","1009.2"
"Lappeenranta Lepola","2024","3","26","06:00","-1.7","-1.5","-1.8","73","-","-","-","-","0","1009.5"
"Lappeenranta Lepola","2024","3","26","07:00","-1.2","-0.8","-1.5","72","-","-","-","-","0","1009.8"
"Lappeenranta Lepola","2024","3","26","08:00","-0.5","-0.3","-0.9","70","-","-","-","-","0","1010"
"Lappeenranta Lepola","2024","3","26","09:00","0.2","0.7","-0.3","69","-","-","-","-","0","1010.2"
"Lappeenranta Lepola","2024","3","26","10:00","0.7","0.9","0.5","72","-","-","-","-","0","1010.3"
"Lappeenranta Lepola","2024","3","26","11:00","0.8","1","0.5","75","-","-","-","-","0.1","1010.3"
"Lappeenranta Lepola","2024","3","26","12:00","0.5","0.5","0.4","85","-","-","-","-","0.2","1010.3"
"Lappeenranta Lepola","2024","3","26","13:00","0.3","0.5","0.2","90","-","-","-","-","0.5","1010.3"
"Lappeenranta Lepola","2024","3","26","14:00","0.4","0.5","0.2","91","-","-","-","-","0.3","1010.1"
"Lappeenranta Lepola","2024","3","26","15:00","0.4","0.5","0.3","92","-","-","-","-","0.3","1010"
"Lappeenranta Lepola","2024","3","26","16:00","0.2","0.3","0.1","95","-","-","-","-","0.6","1009.9"
"Lappeenranta Lepola","2024","3","26","17:00","0.1","0.2","0.1","95","-","-","-","-","0.1","1010"
"Lappeenranta Lepola","2024","3","26","18:00","-0.1","0.1","-0.2","95","-","-","-","-","0.1","1010.1"
"Lappeenranta Lepola","2024","3","26","19:00","-0.4","-0.2","-0.5","94","-","-","-","-","0","1010.4"
"Lappeenranta Lepola","2024","3","26","20:00","-0.6","-0.5","-0.6","95","-","-","-","-","0","1010.8"
"Lappeenranta Lepola","2024","3","26","21:00","-0.6","-0.5","-0.6","95","-","-","-","-","0","1010.9"
"Lappeenranta Lepola","2024","3","26","22:00","-0.6","-0.6","-0.7","95","-","-","-","-","0","1011"
"Lappeenranta Lepola","2024","3","26","23:00","-0.8","-0.7","-0.8","96","-","-","-","-","0","1011.2"
"Lappeenranta Lepola","2024","3","27","00:00","-0.8","-0.7","-0.9","97","-","-","-","-","0","1011.6"
"Lappeenranta Lepola","2024","3","27","01:00","-0.9","-0.8","-1","96","-","-","-","-","0","1011.7"
"Lappeenranta Lepola","2024","3","27","02:00","-1","-0.9","-1.1","96","-","-","-","-","0","1011.8"
"Lappeenranta Lepola","2024","3","27","03:00","-1.1","-1","-1.2","97","-","-","-","-","0","1012"
"Lappeenranta Lepola","2024","3","27","04:00","-1.1","-1.1","-1.2","97","-","-","-","-","0","1011.7"
"Lappeenranta Lepola","2024","3","27","05:00","-1.1","-1","-1.2","97","-","-","-","-","0","1011.7"
"Lappeenranta Lepola","2024","3","27","06:00","-0.9","-0.7","-1.1","96","-","-","-","-","0","1011.6"
"Lappeenranta Lepola","2024","3","27","07:00","-0.5","-0.3","-0.7","95","-","-","-","-","0","1011.6"
"Lappeenranta Lepola","2024","3","27","08:00","-0.2","0","-0.3","94","-","-","-","-","0","1011.5"
"Lappeenranta Lepola","2024","3","27","09:00","0.2","0.5","0","95","-","-","-","-","0","1011.4"
"Lappeenranta Lepola","2024","3","27","10:00","0.7","1","0.4","93","-","-","-","-","0","1011"
"Lappeenranta Lepola","2024","3","27","11:00","1.2","1.6","0.8","92","-","-","-","-","0","1010.9"
"Lappeenranta Lepola","2024","3","27","12:00","1.6","1.9","1.4","91","-","-","-","-","0","1010.6"
"Lappeenranta Lepola","2024","3","27","13:00","1.4","1.5","1.4","92","-","-","-","-","0","1010.4"
"Lappeenranta Lepola","2024","3","27","14:00","1.5","1.7","1.3","93","-","-","-","-","0","1010.2"
"Lappeenranta Lepola","2024","3","27","15:00","1.6","1.7","1.5","94","-","-","-","-","0","1010"
"Lappeenranta Lepola","2024","3","27","16:00","1.5","1.7","1.2","95","-","-","-","-","0","1009.5"
"Lappeenranta Lepola","2024","3","27","17:00","0.9","1.2","0.7","97","-","-","-","-","0","1009.6"
"Lappeenranta Lepola","2024","3","27","18:00","0.5","0.7","0.4","98","-","-","-","-","0","1009.7"
"Lappeenranta Lepola","2024","3","27","19:00","0.3","0.4","0.2","98","-","-","-","-","0","1009.8"
"Lappeenranta Lepola","2024","3","27","20:00","0.2","0.2","0.2","99","-","-","-","-","0","1009.5"
"Lappeenranta Lepola","2024","3","27","21:00","0.2","0.2","0.1","99","-","-","-","-","0","1009.2"
"Lappeenranta Lepola","2024","3","27","22:00","0.1","0.1","0.1","99","-","-","-","-","0","1008.6"
"Lappeenranta Lepola","2024","3","27","23:00","0","0.1","-0.1","99","-","-","-","-","0","1008.5"
"Lappeenranta Lepola","2024","3","28","00:00","-0.1","-0.1","-0.2","99","-","-","-","-","0","1008"
"Lappeenranta Lepola","2024","3","28","01:00","-0.3","-0.2","-0.3","98","-","-","-","-","0","1007.6"
"Lappeenranta Lepola","2024","3","28","02:00","-0.1","0","-0.2","97","-","-","-","-","0","1007.2"
"Lappeenranta Lepola","2024","3","28","03:00","0","0.1","0","95","-","-","-","-","0","1006.9"
"Lappeenranta Lepola","2024","3","28","04:00","0.2","0.3","0","94","-","-","-","-","0","1006.9"
"Lappeenranta Lepola","2024","3","28","05:00","0.4","0.8","0.2","93","-","-","-","-","0","1006.4"
"Lappeenranta Lepola","2024","3","28","06:00","1.2","1.5","0.9","90","-","-","-","-","0","1006.2"
"Lappeenranta Lepola","2024","3","28","07:00","2.2","2.9","1.5","86","-","-","-","-","0","1005.9"
"Lappeenranta Lepola","2024","3","28","08:00","4","5.2","2.9","78","-","-","-","-","0","1005.6"
"Lappeenranta Lepola","2024","3","28","09:00","6.4","7.2","5.3","66","-","-","-","-","0","1005"
"Lappeenranta Lepola","2024","3","28","10:00","7.6","8.1","7","62","-","-","-","-","0","1004.6"
"Lappeenranta Lepola","2024","3","28","11:00","8.7","9.4","8","58","-","-","-","-","0","1004.1"
"Lappeenranta Lepola","2024","3","28","12:00","9.7","10.1","9","53","-","-","-","-","0","1003.6"
"Lappeenranta Lepola","2024","3","28","13:00","10.5","10.9","9.6","49","-","-","-","-","0","1003"
"Lappeenranta Lepola","2024","3","28","14:00","11.1","11.4","10.7","45","-","-","-","-","0","1002.3"
"Lappeenranta Lepola","2024","3","28","15:00","10.3","11","9.5","48","-","-","-","-","0","1001.9"
"Lappeenranta Lepola","2024","3","28","16:00","9.3","9.6","8.9","52","-","-","-","-","0","1001.6"
"Lappeenranta Lepola","2024","3","28","17:00","8.1","8.9","7","57","-","-","-","-","0","1001.3"
"Lappeenranta Lepola","2024","3","28","18:00","6.5","7","6.1","63","-","-","-","-","0","1001.2"
"Lappeenranta Lepola","2024","3","28","19:00","5.8","6.2","5.5","65","-","-","-","-","0","1000.8"
"Lappeenranta Lepola","2024","3","28","20:00","5.3","5.5","4.7","66","-","-","-","-","0","1000.1"
"Lappeenranta Lepola","2024","3","28","21:00","4.4","4.7","4.1","71","-","-","-","-","0","999.7"
"Lappeenranta Lepola","2024","3","28","22:00","4.1","4.4","3.8","72","-","-","-","-","0","999.2"
"Lappeenranta Lepola","2024","3","28","23:00","3.7","4.2","3.3","75","-","-","-","-","0","998.8"
"Lappeenranta Lepola","2024","3","29","00:00","3.5","3.7","3.1","77","-","-","-","-","0","998.2"
"Lappeenranta Lepola","2024","3","29","01:00","2.9","3.4","2.6","80","-","-","-","-","0","997.8"
"Lappeenranta Lepola","2024","3","29","02:00","2.1","2.6","1.7","85","-","-","-","-","0","997.4"
"Lappeenranta Lepola","2024","3","29","03:00","2.2","2.4","2","85","-","-","-","-","0","996.8"
"Lappeenranta Lepola","2024","3","29","04:00","2.6","2.8","2.3","84","-","-","-","-","0","996.5"
"Lappeenranta Lepola","2024","3","29","05:00","3","3.3","2.7","82","-","-","-","-","0","996.1"
"Lappeenranta Lepola","2024","3","29","06:00","3.6","4","3.3","80","-","-","-","-","0","995.7"
"Lappeenranta Lepola","2024","3","29","07:00","4","4.1","3.9","79","-","-","-","-","0","995.5"
"Lappeenranta Lepola","2024","3","29","08:00","4.5","4.8","4.1","78","-","-","-","-","0","995.4"
"Lappeenranta Lepola","2024","3","29","09:00","5","5.2","4.8","77","-","-","-","-","0","995.2"
"Lappeenranta Lepola","2024","3","29","10:00","6.1","7.2","5.2","72","-","-","-","-","0","994.7"
"Lappeenranta Lepola","2024","3","29","11:00","7.8","8.3","7.1","66","-","-","-","-","0","994.4"
"Lappeenranta Lepola","2024","3","29","12:00","8.5","8.9","7.9","64","-","-","-","-","0","994.3"
"Lappeenranta Lepola","2024","3","29","13:00","8.6","8.8","8.5","64","-","-","-","-","0","994.4"
"Lappeenranta Lepola","2024","3","29","14:00","7.5","8.5","6.7","66","-","-","-","-","0","994.5"
"Lappeenranta Lepola","2024","3","29","15:00","7","7.1","6.8","69","-","-","-","-","0","994.7"
"Lappeenranta Lepola","2024","3","29","16:00","6.4","6.9","5.9","72","-","-","-","-","0","995.2"
"Lappeenranta Lepola","2024","3","29","17:00","5.7","5.9","5.5","76","-","-","-","-","0","995.5"
"Lappeenranta Lepola","2024","3","29","18:00","5.2","5.7","4.8","91","-","-","-","-","0","995.8"
"Lappeenranta Lepola","2024","3","29","19:00","4.7","4.8","4.5","96","-","-","-","-","0.3","995.9"
"Lappeenranta Lepola","2024","3","29","20:00","4.1","4.5","3.7","97","-","-","-","-","0.5","996.1"
"Lappeenranta Lepola","2024","3","29","21:00","3.5","3.7","3.4","98","-","-","-","-","0.2","996.4"
"Lappeenranta Lepola","2024","3","29","22:00","3.3","3.6","3.1","98","-","-","-","-","0.7","996.8"
"Lappeenranta Lepola","2024","3","29","23:00","3","3.1","2.9","99","-","-","-","-","1.1","997.3"
"Lappeenranta Lepola","2024","3","30","00:00","2.8","3","2.7","99","-","-","-","-","0.6","997.8"
"Lappeenranta Lepola","2024","3","30","01:00","3.3","3.5","2.7","99","-","-","-","-","0","998.2"
"Lappeenranta Lepola","2024","3","30","02:00","3.3","3.4","3.2","99","-","-","-","-","0.4","998.6"
"Lappeenranta Lepola","2024","3","30","03:00","3.2","3.3","3.1","98","-","-","-","-","0.1","999"
"Lappeenranta Lepola","2024","3","30","04:00","3.3","3.4","3.2","97","-","-","-","-","0.4","999.5"
"Lappeenranta Lepola","2024","3","30","05:00","3.4","3.5","3.3","97","-","-","-","-","0","999.8"
"Lappeenranta Lepola","2024","3","30","06:00","3.7","3.9","3.5","96","-","-","-","-","0","1000.2"
"Lappeenranta Lepola","2024","3","30","07:00","4.2","4.7","3.9","95","-","-","-","-","0","1000.8"
"Lappeenranta Lepola","2024","3","30","08:00","5.1","5.6","4.7","92","-","-","-","-","0","1001.3"
"Lappeenranta Lepola","2024","3","30","09:00","6","6.7","5.6","88","-","-","-","-","0","1001.8"
"Lappeenranta Lepola","2024","3","30","10:00","7.4","8.3","6.7","83","-","-","-","-","0","1002.2"
"Lappeenranta Lepola","2024","3","30","11:00","8.4","8.7","8","76","-","-","-","-","0","1002.6"
"Lappeenranta Lepola","2024","3","30","12:00","9.1","9.7","8.6","72","-","-","-","-","0","1002.8"
"Lappeenranta Lepola","2024","3","30","13:00","9.6","10","9.3","66","-","-","-","-","0","1003.1"
"Lappeenranta Lepola","2024","3","30","14:00","9.9","10.4","9.4","64","-","-","-","-","0","1003.6"
"Lappeenranta Lepola","2024","3","30","15:00","10","10.4","9.7","62","-","-","-","-","0","1004.1"
"Lappeenranta Lepola","2024","3","30","16:00","9.3","9.7","8.8","69","-","-","-","-","0","1004.6"
"Lappeenranta Lepola","2024","3","30","17:00","7.8","8.9","6.8","79","-","-","-","-","0","1005.5"
"Lappeenranta Lepola","2024","3","30","18:00","6.8","7.2","6.4","85","-","-","-","-","0","1006.4"
"Lappeenranta Lepola","2024","3","30","19:00","6.7","7.2","6.4","83","-","-","-","-","0","1007.2"
"Lappeenranta Lepola","2024","3","30","20:00","6","6.3","5.6","81","-","-","-","-","0","1008"
"Lappeenranta Lepola","2024","3","30","21:00","5.7","5.9","5.5","80","-","-","-","-","0","1008.4"
"Lappeenranta Lepola","2024","3","30","22:00","4.9","5.5","4.3","83","-","-","-","-","0","1008.9"
"Lappeenranta Lepola","2024","3","30","23:00","4.1","4.9","3.3","87","-","-","-","-","0","1009.3"
"Lappeenranta Lepola","2024","3","31","00:00","3.4","3.6","3.2","91","-","-","-","-","0","1009.5"
"Lappeenranta Lepola","2024","3","31","01:00","3.1","3.4","2.8","95","-","-","-","-","0","1009.9"
"Lappeenranta Lepola","2024","3","31","02:00","2.3","2.7","1.9","98","-","-","-","-","0","1010.4"
"Lappeenranta Lepola","2024","3","31","03:00","1.5","1.9","1.1","99","-","-","-","-","0","1010.7"
"Lappeenranta Lepola","2024","3","31","04:00","0.8","1.1","0.7","99","-","-","-","-","0","1010.7"
"Lappeenranta Lepola","2024","3","31","05:00","0.7","0.9","0.5","99","-","-","-","-","0","1010.9"
"Lappeenranta Lepola","2024","3","31","06:00","0.8","1.5","0.5","99","-","-","-","-","0","1011.1"
"Lappeenranta Lepola","2024","3","31","07:00","2","2.4","1.6","99","-","-","-","-","0","1011.1"
"Lappeenranta Lepola","2024","3","31","08:00","2.9","3.3","2.4","99","-","-","-","-","0","1011.6"
"Lappeenranta Lepola","2024","3","31","09:00","3.8","4.4","3.3","98","-","-","-","-","0","1011.5"
"Lappeenranta Lepola","2024","3","31","10:00","4.8","4.9","4.5","91","-","-","-","-","0","1011.5"
"Lappeenranta Lepola","2024","3","31","11:00","5.1","5.5","4.9","88","-","-","-","-","0","1011.3"
"Lappeenranta Lepola","2024","3","31","12:00","6.1","6.4","5.5","84","-","-","-","-","0","1010.6"
"Lappeenranta Lepola","2024","3","31","13:00","6.5","6.6","6.4","82","-","-","-","-","0","1010"
"Lappeenranta Lepola","2024","3","31","14:00","6.5","6.6","6.5","82","-","-","-","-","0","1009.6"
"Lappeenranta Lepola","2024","3","31","15:00","6.2","6.6","6","84","-","-","-","-","0","1009.1"
"Lappeenranta Lepola","2024","3","31","16:00","5.9","6.1","5.8","86","-","-","-","-","0","1008.5"
"Lappeenranta Lepola","2024","3","31","17:00","6","6.2","5.9","86","-","-","-","-","0","1007.7"
"Lappeenranta Lepola","2024","3","31","18:00","5.8","6.1","5.2","87","-","-","-","-","0","1007.2"
"Lappeenranta Lepola","2024","3","31","19:00","5.2","5.4","5","90","-","-","-","-","0","1006.7"
"Lappeenranta Lepola","2024","3","31","20:00","5","5.2","4.9","90","-","-","-","-","0","1006"
"Lappeenranta Lepola","2024","3","31","21:00","4.8","5","4.4","90","-","-","-","-","0","1005.2"
"Lappeenranta Lepola","2024","3","31","22:00","4.2","4.5","4","92","-","-","-","-","0","1004.3"
"Lappeenranta Lepola","2024","3","31","23:00","3.9","4","3.8","93","-","-","-","-","0","1003.3"
"Lappeenranta Lepola","2024","4","1","00:00","3.7","3.9","3.5","94","-","-","-","-","0","1002.2"
"Lappeenranta Lepola","2024","4","1","01:00","3.3","3.6","3","96","-","-","-","-","0","1001.1"
"Lappeenranta Lepola","2024","4","1","02:00","3","3.1","2.8","97","-","-","-","-","0","1000.2"
"Lappeenranta Lepola","2024","4","1","03:00","3.1","3.3","3","97","-","-","-","-","0","999.4"
"Lappeenranta Lepola","2024","4","1","04:00","2.9","3.1","2.7","97","-","-","-","-","0","998.7"
"Lappeenranta Lepola","2024","4","1","05:00","3.1","3.4","2.7","97","-","-","-","-","0","997.8"
"Lappeenranta Lepola","2024","4","1","06:00","3.6","3.7","3.4","96","-","-","-","-","0.2","997.3"
"Lappeenranta Lepola","2024","4","1","07:00","4.6","5.4","3.7","96","-","-","-","-","0","996.6"
"Lappeenranta Lepola","2024","4","1","08:00","6.5","7.7","5.4","91","-","-","-","-","0","995.9"
"Lappeenranta Lepola","2024","4","1","09:00","9.8","11.6","7.8","83","-","-","-","-","0","995.4"
"Lappeenranta Lepola","2024","4","1","10:00","12.4","13.3","11.4","76","-","-","-","-","0","994.9"
"Lappeenranta Lepola","2024","4","1","11:00","13.9","14.6","13.2","71","-","-","-","-","0","994.8"
"Lappeenranta Lepola","2024","4","1","12:00","15.1","15.5","14.5","67","-","-","-","-","0","994.6"
"Lappeenranta Lepola","2024","4","1","13:00","15.7","16","15.4","65","-","-","-","-","0","994.8"
"Lappeenranta Lepola","2024","4","1","14:00","15.6","16","15.2","66","-","-","-","-","0","994.9"
"Lappeenranta Lepola","2024","4","1","15:00","15","15.4","14.8","68","-","-","-","-","0","995.2"
"Lappeenranta Lepola","2024","4","1","16:00","13.1","14.7","12","70","-","-","-","-","0","996.2"
"Lappeenranta Lepola","2024","4","1","17:00","11","12.1","9.5","74","-","-","-","-","0","996.9"
"Lappeenranta Lepola","2024","4","1","18:00","8.5","9.5","7.4","81","-","-","-","-","0","997.9"
"Lappeenranta Lepola","2024","4","1","19:00","6.4","7.4","5.2","87","-","-","-","-","0","998.8"
"Lappeenranta Lepola","2024","4","1","20:00","4.5","5.2","4.2","94","-","-","-","-","0","1000"
"Lappeenranta Lepola","2024","4","1","21:00","4.2","4.3","4","96","-","-","-","-","0","1000.3"
"Lappeenranta Lepola","2024","4","1","22:00","3.9","4","3.8","94","-","-","-","-","0","1000.8"
"Lappeenranta Lepola","2024","4","1","23:00","3.6","3.8","3.4","95","-","-","-","-","0","1001.7"
"Lappeenranta Lepola","2024","4","2","00:00","3.2","3.4","2.9","95","-","-","-","-","0","1002.3"
"Lappeenranta Lepola","2024","4","2","01:00","2.7","2.9","2.4","95","-","-","-","-","0","1002.7"
"Lappeenranta Lepola","2024","4","2","02:00","2.3","2.4","2.2","95","-","-","-","-","0","1003"
"Lappeenranta Lepola","2024","4","2","03:00","2.4","2.4","2.3","92","-","-","-","-","0","1003.6"
"Lappeenranta Lepola","2024","4","2","04:00","2.2","2.3","2.1","93","-","-","-","-","0","1004.2"
"Lappeenranta Lepola","2024","4","2","05:00","2","2.1","1.8","90","-","-","-","-","0","1004.8"
"Lappeenranta Lepola","2024","4","2","06:00","1.7","1.9","1.6","92","-","-","-","-","0","1004.9"
"Lappeenranta Lepola","2024","4","2","07:00","2.1","2.4","1.9","88","-","-","-","-","0","1005.1"
"Lappeenranta Lepola","2024","4","2","08:00","2.4","2.5","2.2","84","-","-","-","-","0","1005.2"
"Lappeenranta Lepola","2024","4","2","09:00","2.2","2.4","1.9","83","-","-","-","-","0","1005.7"
"Lappeenranta Lepola","2024","4","2","10:00","2","2.3","1.8","82","-","-","-","-","0","1005.5"
"Lappeenranta Lepola","2024","4","2","11:00","2.1","2.2","2.1","81","-","-","-","-","0","1005.4"
"Lappeenranta Lepola","2024","4","2","12:00","2.1","2.3","1.8","82","-","-","-","-","0","1004.9"
"Lappeenranta Lepola","2024","4","2","13:00","1.6","1.9","1.5","81","-","-","-","-","0","1004.4"
"Lappeenranta Lepola","2024","4","2","14:00","1.6","1.7","1.5","79","-","-","-","-","0","1003.8"
"Lappeenranta Lepola","2024","4","2","15:00","1.4","1.6","1.1","78","-","-","-","-","0","1003.1"
"Lappeenranta Lepola","2024","4","2","16:00","0.7","1.1","0.3","81","-","-","-","-","0","1003.1"
"Lappeenranta Lepola","2024","4","2","17:00","0","0.3","-0.3","89","-","-","-","-","1.6","1002.6"
"Lappeenranta Lepola","2024","4","2","18:00","-0.4","-0.3","-0.6","91","-","-","-","-","1.9","1001.9"
"Lappeenranta Lepola","2024","4","2","19:00","-0.8","-0.6","-1.1","91","-","-","-","-","1.5","1001.4"
"Lappeenranta Lepola","2024","4","2","20:00","-1.3","-1.1","-1.4","93","-","-","-","-","3.1","1000"
"Lappeenranta Lepola","2024","4","2","21:00","-1.4","-1.3","-1.4","93","-","-","-","-","1.6","998.5"
"Lappeenranta Lepola","2024","4","2","22:00","-1.4","-1.2","-1.6","93","-","-","-","-","3.6","997.9"
"Lappeenranta Lepola","2024","4","2","23:00","-2","-1.6","-2.2","95","-","-","-","-","2.4","997.4"
"Lappeenranta Lepola","2024","4","3","00:00","-2.3","-2.2","-2.4","93","-","-","-","-","0.5","997"
"Lappeenranta Lepola","2024","4","3","01:00","-2.4","-2.3","-2.6","93","-","-","-","-","0.4","995.9"
"Lappeenranta Lepola","2024","4","3","02:00","-2.7","-2.6","-3","93","-","-","-","-","1.9","994.9"
"Lappeenranta Lepola","2024","4","3","03:00","-3","-3","-3","93","-","-","-","-","0.5","994.4"
"Lappeenranta Lepola","2024","4","3","04:00","-3","-3","-3.1","91","-","-","-","-","0.2","994.2"
"Lappeenranta Lepola","2024","4","3","05:00","-3.2","-3.1","-3.3","91","-","-","-","-","1.4","993.7"
"Lappeenranta Lepola","2024","4","3","06:00","-3.3","-3.2","-3.3","91","-","-","-","-","0.5","993.3"
"Lappeenranta Lepola","2024","4","3","07:00","-3.3","-3.2","-3.4","89","-","-","-","-","0.2","993.4"
"Lappeenranta Lepola","2024","4","3","08:00","-3.2","-3.2","-3.4","88","-","-","-","-","0.3","993.7"
"Lappeenranta Lepola","2024","4","3","09:00","-3.5","-3.4","-3.6","91","-","-","-","-","0.8","993.5"
"Lappeenranta Lepola","2024","4","3","10:00","-3.1","-2.8","-3.5","88","-","-","-","-","0.2","993.3"
"Lappeenranta Lepola","2024","4","3","11:00","-2.8","-2.6","-2.9","82","-","-","-","-","0","993.8"
"Lappeenranta Lepola","2024","4","3","12:00","-2.5","-2.3","-2.7","80","-","-","-","-","0","994.7"
"Lappeenranta Lepola","2024","4","3","13:00","-2.1","-2","-2.3","78","-","-","-","-","0","995.1"
"Lappeenranta Lepola","2024","4","3","14:00","-1.7","-1.6","-2","76","-","-","-","-","0","995.6"
"Lappeenranta Lepola","2024","4","3","15:00","-1.5","-1.4","-1.6","73","-","-","-","-","0","996.4"
"Lappeenranta Lepola","2024","4","3","16:00","-1.5","-1.5","-1.7","71","-","-","-","-","0","997.5"
"Lappeenranta Lepola","2024","4","3","17:00","-2","-1.7","-2.3","66","-","-","-","-","0","998.7"
"Lappeenranta Lepola","2024","4","3","18:00","-2.6","-2.3","-2.9","62","-","-","-","-","0","1000.1"
"Lappeenranta Lepola","2024","4","3","19:00","-3.2","-2.8","-3.5","62","-","-","-","-","0","1001.2"
