"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Ilmanpaineen keskiarvo [hPa]","Tunnin sademäärä [mm]","Kovin puuska [m/s]","Tuulen suunnan keskiarvo [°]","Kovin keskituulen nopeus [m/s]","Keskituulen nopeus [m/s]","Suhteellisen kosteuden keskiarvo [%]","Alin lämpötila [°C]","Ylin lämpötila [°C]","Lämpötilan keskiarvo [°C]"
"Jyväskylä lentoasema AWOS","2024","3","26","23:00","1011.5","-","1.2","355","0.9","0.6","89","-3.1","-2.6","-2.8"
"Jyväskylä lentoasema AWOS","2024","3","27","00:00","1011.8","-","1.6","22","0.9","0.7","89","-3.1","-2.3","-2.8"
"Jyväskylä lentoasema AWOS","2024","3","27","01:00","1011.7","-","1.5","54","1","0.6","87","-3","-2.2","-2.6"
"Jyväskylä lentoasema AWOS","2024","3","27","02:00","1011.6","-","1.6","2","1.3","0.6","89","-3.1","-2.7","-2.9"
"Jyväskylä lentoasema AWOS","2024","3","27","03:00","1011.4","-","3.7","113","2.8","1.3","83","-2.8","-1.9","-2.2"
"Jyväskylä lentoasema AWOS","2024","3","27","04:00","1011.1","-","3.4","127","2.8","2.4","82","-2","-1.8","-1.9"
"Jyväskylä lentoasema AWOS","2024","3","27","05:00","1011","-","3.5","121","2.7","2.4","83","-1.9","-1.7","-1.8"
"Jyväskylä lentoasema AWOS","2024","3","27","06:00","1010.8","-","4.2","114","3.4","2.8","84","-1.8","-1.3","-1.6"
"Jyväskylä lentoasema AWOS","2024","3","27","07:00","1010.6","-","6.6","124","5.4","3.7","86","-1.4","-0.9","-1.1"
"Jyväskylä lentoasema AWOS","2024","3","27","08:00","1010.6","-","7.7","128","6.3","5.3","87","-1","-0.5","-0.8"
"Jyväskylä lentoasema AWOS","2024","3","27","09:00","1010.3","-","6.7","126","5.6","4.8","85","-0.6","0","-0.2"
"Jyväskylä lentoasema AWOS","2024","3","27","10:00","1010.1","-","6.8","124","5.3","4.9","85","-0.1","0.6","0.2"
"Jyväskylä lentoasema AWOS","2024","3","27","11:00","1009.9","-","6.3","125","5.5","4.8","82","0.6","1.1","0.9"
"Jyväskylä lentoasema AWOS","2024","3","27","12:00","1009.9","-","6.3","127","5.2","4.2","89","0.6","1","0.7"
"Jyväskylä lentoasema AWOS","2024","3","27","13:00","1009.8","-","5.2","119","4.4","3.9","92","0.5","0.8","0.7"
"Jyväskylä lentoasema AWOS","2024","3","27","14:00","1009.3","-","5.8","112","4.4","3.9","94","0.6","0.8","0.7"
"Jyväskylä lentoasema AWOS","2024","3","27","15:00","1009.1","-","6.5","121","5","4.4","93","0.7","0.9","0.9"
"Jyväskylä lentoasema AWOS","2024","3","27","16:00","1008.9","-","5.8","125","4.8","4.4","94","0.9","1.1","1"
"Jyväskylä lentoasema AWOS","2024","3","27","17:00","1008.9","-","5.7","131","4.5","4.1","95","0.8","1","0.9"
"Jyväskylä lentoasema AWOS","2024","3","27","18:00","1008.9","-","6.1","134","4.6","4.1","96","0.8","1","0.9"
"Jyväskylä lentoasema AWOS","2024","3","27","19:00","1008.8","-","5.8","127","4.5","4.1","96","0.8","1","0.9"
"Jyväskylä lentoasema AWOS","2024","3","27","20:00","1008.5","-","5.1","118","4.1","3.7","97","0.7","0.9","0.8"
"Jyväskylä lentoasema AWOS","2024","3","27","21:00","1008.2","-","5.5","124","4.4","4","98","0.7","0.8","0.8"
"Jyväskylä lentoasema AWOS","2024","3","27","22:00","1007.9","-","5.2","122","4.3","3.9","98","0.6","0.7","0.7"
"Jyväskylä lentoasema AWOS","2024","3","27","23:00","1007.6","-","5.6","121","4.6","4","98","0.6","0.8","0.7"
"Jyväskylä lentoasema AWOS","2024","3","28","00:00","1007.1","-","5","121","4.1","3.9","99","0.5","0.6","0.6"
"Jyväskylä lentoasema AWOS","2024","3","28","01:00","1006.9","-","4.8","127","4.1","3.6","99","0.4","0.5","0.4"
"Jyväskylä lentoasema AWOS","2024","3","28","02:00","1006.6","-","6.3","129","4.7","4.3","99","0.2","0.4","0.3"
"Jyväskylä lentoasema AWOS","2024","3","28","03:00","1006.2","-","5.3","127","4.3","3.8","98","0.2","0.3","0.2"
"Jyväskylä lentoasema AWOS","2024","3","28","04:00","1006","-","6","125","4.3","4","98","-0.1","0.2","0.1"
"Jyväskylä lentoasema AWOS","2024","3","28","05:00","1005.6","-","6.1","132","5","4.5","99","-0.3","0","-0.2"
"Jyväskylä lentoasema AWOS","2024","3","28","06:00","1005.2","-","5.2","127","4.4","4","98","-0.3","-0.1","-0.2"
"Jyväskylä lentoasema AWOS","2024","3","28","07:00","1004.8","-","5.9","125","4.6","3.9","96","-0.1","0.2","0"
"Jyväskylä lentoasema AWOS","2024","3","28","08:00","1004.3","-","5.2","123","4.5","3.5","93","0.2","0.9","0.6"
"Jyväskylä lentoasema AWOS","2024","3","28","09:00","1003.9","-","4","113","3.2","2.9","89","0.9","2.7","1.6"
"Jyväskylä lentoasema AWOS","2024","3","28","10:00","1003.3","-","4.1","116","3.1","2.5","78","2.6","4.9","3.8"
"Jyväskylä lentoasema AWOS","2024","3","28","11:00","1002.7","-","5.2","125","4.1","3.6","69","4.7","6.5","5.7"
"Jyväskylä lentoasema AWOS","2024","3","28","12:00","1002","-","5.4","129","4.5","3.7","59","6.4","9","7.6"
"Jyväskylä lentoasema AWOS","2024","3","28","13:00","1001.4","-","7.9","155","6.1","4.8","49","8.6","9.9","9.5"
"Jyväskylä lentoasema AWOS","2024","3","28","14:00","1000.7","-","7.4","155","5.5","4.5","47","9.2","10.2","9.8"
"Jyväskylä lentoasema AWOS","2024","3","28","15:00","1000.3","-","4.9","148","3.7","3.4","49","8.4","10.1","9.5"
"Jyväskylä lentoasema AWOS","2024","3","28","16:00","1000","-","6","148","4","3.4","52","7.8","9.6","8.6"
"Jyväskylä lentoasema AWOS","2024","3","28","17:00","1000","-","4.3","143","3.3","2.9","57","6","8.3","7.2"
"Jyväskylä lentoasema AWOS","2024","3","28","18:00","999.8","-","4.1","135","3.7","3.2","61","5.7","7","6.3"
"Jyväskylä lentoasema AWOS","2024","3","28","19:00","999.6","-","3.4","121","3.2","2.7","65","4","6.6","5.3"
"Jyväskylä lentoasema AWOS","2024","3","28","20:00","999","-","2.9","131","2.6","2.3","75","2.2","4","3.1"
"Jyväskylä lentoasema AWOS","2024","3","28","21:00","998.7","-","3.1","132","3","2.5","77","1.9","3.5","2.8"
"Jyväskylä lentoasema AWOS","2024","3","28","22:00","998.3","-","3","139","2.9","1.9","74","1.7","4.4","3.2"
"Jyväskylä lentoasema AWOS","2024","3","28","23:00","997.7","-","3.5","136","2.1","1.8","76","1.5","3.9","2.8"
"Jyväskylä lentoasema AWOS","2024","3","29","00:00","997.2","-","2.8","125","2.2","1.2","79","1.3","3.4","2.3"
"Jyväskylä lentoasema AWOS","2024","3","29","01:00","996.9","-","1.7","46","1.1","0.9","87","0.7","1.8","1.2"
"Jyväskylä lentoasema AWOS","2024","3","29","02:00","996.5","-","1.4","21","1.2","0.6","89","0.1","1.4","0.6"
"Jyväskylä lentoasema AWOS","2024","3","29","03:00","996","-","1.5","87","0.9","0.6","83","1.1","2.7","2"
"Jyväskylä lentoasema AWOS","2024","3","29","04:00","995.5","-","0.8","96","0.4","0.3","81","2.3","2.8","2.5"
"Jyväskylä lentoasema AWOS","2024","3","29","05:00","995.4","-","1.4","53","0.8","0.5","82","2.1","2.6","2.4"
"Jyväskylä lentoasema AWOS","2024","3","29","06:00","995.1","-","3.2","117","2.8","1.9","80","2.5","3.1","2.8"
"Jyväskylä lentoasema AWOS","2024","3","29","07:00","995","-","3.3","111","2.6","2.3","80","2.5","3.5","3.1"
"Jyväskylä lentoasema AWOS","2024","3","29","08:00","994.9","-","3.7","109","2.8","2","78","3.1","4","3.7"
"Jyväskylä lentoasema AWOS","2024","3","29","09:00","994.9","-","4","125","3.1","2.5","75","3.8","5.3","4.5"
"Jyväskylä lentoasema AWOS","2024","3","29","10:00","994.9","-","3.8","126","3.1","2.2","72","4.9","6.2","5.4"
"Jyväskylä lentoasema AWOS","2024","3","29","11:00","994.8","-","2.1","130","1.9","1","66","6.2","8.1","7"
"Jyväskylä lentoasema AWOS","2024","3","29","12:00","994.8","-","3.1","99","1.4","0.7","63","7","8.6","7.8"
"Jyväskylä lentoasema AWOS","2024","3","29","13:00","994.5","-","4.2","57","3","2.4","64","7.4","8.1","7.7"
"Jyväskylä lentoasema AWOS","2024","3","29","14:00","994.4","-","5.6","47","3.4","2.4","64","7","8.1","7.6"
"Jyväskylä lentoasema AWOS","2024","3","29","15:00","994.8","-","3.3","31","2.5","1.8","66","6.4","7.1","6.8"
"Jyväskylä lentoasema AWOS","2024","3","29","16:00","995","-","3.2","38","2.6","1.9","68","5.8","6.5","6.3"
"Jyväskylä lentoasema AWOS","2024","3","29","17:00","995.2","-","4.2","52","2.6","2.2","70","5.4","6.1","5.7"
"Jyväskylä lentoasema AWOS","2024","3","29","18:00","995.5","-","4.4","69","2.9","2.4","75","3.6","5.8","4.5"
"Jyväskylä lentoasema AWOS","2024","3","29","19:00","995.8","-","3.9","71","2.8","2.3","76","3.8","5.1","4.4"
"Jyväskylä lentoasema AWOS","2024","3","29","20:00","996.2","-","2","38","1.7","1.1","78","2.7","4.6","3.9"
"Jyväskylä lentoasema AWOS","2024","3","29","21:00","996.4","-","2.6","56","1.5","1.1","77","3.6","4.5","4.1"
"Jyväskylä lentoasema AWOS","2024","3","29","22:00","996.7","-","2.9","94","2.1","1.6","79","3","4.1","3.5"
"Jyväskylä lentoasema AWOS","2024","3","29","23:00","997.1","-","3.5","124","2.7","2.2","82","2.6","3.5","3.2"
"Jyväskylä lentoasema AWOS","2024","3","30","00:00","997.5","-","2.6","138","2.1","1.7","90","2.1","2.9","2.4"
"Jyväskylä lentoasema AWOS","2024","3","30","01:00","997.7","-","2.4","120","1.9","1.7","95","1.5","2.3","2.1"
"Jyväskylä lentoasema AWOS","2024","3","30","02:00","997.8","-","2.5","106","2.1","1.3","97","1.6","2.1","1.9"
"Jyväskylä lentoasema AWOS","2024","3","30","03:00","997.9","-","2.4","129","2.2","1.8","98","1.5","1.9","1.6"
"Jyväskylä lentoasema AWOS","2024","3","30","04:00","998.3","-","3.6","154","2.5","2.1","98","1.6","1.9","1.8"
"Jyväskylä lentoasema AWOS","2024","3","30","05:00","998.7","-","3.4","229","2.6","1.9","97","1.7","2","1.8"
"Jyväskylä lentoasema AWOS","2024","3","30","06:00","999","-","5.3","235","3.2","2.4","96","1.7","1.9","1.8"
"Jyväskylä lentoasema AWOS","2024","3","30","07:00","999.6","-","6.7","242","4.4","3.4","94","1.6","1.8","1.7"
"Jyväskylä lentoasema AWOS","2024","3","30","08:00","1000.5","-","7","244","4.2","3.6","93","1.7","1.9","1.8"
"Jyväskylä lentoasema AWOS","2024","3","30","09:00","1001.4","-","7.5","249","4.8","3.9","90","1.7","2.1","2"
"Jyväskylä lentoasema AWOS","2024","3","30","10:00","1002","-","7.7","253","4.3","3.5","88","2","2.8","2.4"
"Jyväskylä lentoasema AWOS","2024","3","30","11:00","1002.3","-","6.6","253","4.3","3.5","84","2.6","3.3","3"
"Jyväskylä lentoasema AWOS","2024","3","30","12:00","1002.7","-","5.8","252","3.7","2.9","81","3.1","4.1","3.7"
"Jyväskylä lentoasema AWOS","2024","3","30","13:00","1003.2","-","5.5","246","3.9","3.4","79","3.8","4.6","4.1"
"Jyväskylä lentoasema AWOS","2024","3","30","14:00","1003.6","-","6.3","250","4.1","3.3","76","4.4","5.1","4.8"
"Jyväskylä lentoasema AWOS","2024","3","30","15:00","1004","-","7.9","250","4.9","3.7","76","4.6","5.1","4.8"
"Jyväskylä lentoasema AWOS","2024","3","30","16:00","1004.5","-","6.8","251","4.5","3.4","77","4.2","4.9","4.6"
"Jyväskylä lentoasema AWOS","2024","3","30","17:00","1005.3","-","6","252","3.7","3.2","80","3.7","4.4","4"
"Jyväskylä lentoasema AWOS","2024","3","30","18:00","1005.9","-","7.1","258","4.1","2.8","80","3.3","3.8","3.7"
"Jyväskylä lentoasema AWOS","2024","3","30","19:00","1006.7","-","4.6","238","3","2.3","83","3.1","3.5","3.3"
"Jyväskylä lentoasema AWOS","2024","3","30","20:00","1007.1","-","3.9","226","2.4","2.1","84","3.1","3.3","3.2"
"Jyväskylä lentoasema AWOS","2024","3","30","21:00","1007.4","-","4.8","238","3.1","2.2","85","2.9","3.3","3.1"
"Jyväskylä lentoasema AWOS","2024","3","30","22:00","1008","-","5","256","3.6","2.8","85","2.7","3.2","3"
"Jyväskylä lentoasema AWOS","2024","3","30","23:00","1008.4","-","5.6","248","3.8","1.7","88","1.9","2.9","2.4"
"Jyväskylä lentoasema AWOS","2024","3","31","00:00","1008.6","-","4.2","225","2.6","1.6","89","2","2.5","2.2"
"Jyväskylä lentoasema AWOS","2024","3","31","01:00","1009.1","-","5.8","241","3.9","2.5","91","1.9","2.2","2"
"Jyväskylä lentoasema AWOS","2024","3","31","02:00","1009.2","-","4","224","2.5","1.5","93","1.9","2.1","2"
"Jyväskylä lentoasema AWOS","2024","3","31","03:00","1009.2","-","3.5","196","2.2","1.5","95","1.5","2.1","1.8"
"Jyväskylä lentoasema AWOS","2024","3","31","04:00","1009.3","-","3.2","176","2.6","1.9","98","1","1.6","1.2"
"Jyväskylä lentoasema AWOS","2024","3","31","05:00","1009.2","-","3.4","165","2.5","1.9","99","1","1.2","1.1"
"Jyväskylä lentoasema AWOS","2024","3","31","06:00","1009.5","-","4.1","159","3.2","2.6","100","0.8","1","0.9"
"Jyväskylä lentoasema AWOS","2024","3","31","07:00","1009.5","-","4.3","168","2.8","2.3","100","1","1.2","1.1"
"Jyväskylä lentoasema AWOS","2024","3","31","08:00","1009.9","-","3.1","157","2.3","2","100","1.2","1.4","1.3"
"Jyväskylä lentoasema AWOS","2024","3","31","09:00","1010.1","-","3.5","142","2.8","2.4","100","1.3","1.5","1.4"
"Jyväskylä lentoasema AWOS","2024","3","31","10:00","1010.2","-","3.6","142","2.9","2.7","99","1.4","1.6","1.5"
"Jyväskylä lentoasema AWOS","2024","3","31","11:00","1010.3","-","3.6","137","2.9","2.5","99","1.3","1.5","1.5"
"Jyväskylä lentoasema AWOS","2024","3","31","12:00","1010.1","-","2.7","139","2.4","2.1","96","1.5","2.1","1.9"
"Jyväskylä lentoasema AWOS","2024","3","31","13:00","1009.7","-","2.9","140","2.4","2.2","95","2","2.6","2.3"
"Jyväskylä lentoasema AWOS","2024","3","31","14:00","1009.4","-","2.4","142","2.1","1.6","94","2.5","3.2","2.9"
"Jyväskylä lentoasema AWOS","2024","3","31","15:00","1008.8","-","2.9","136","2.2","1.8","93","3.1","3.5","3.3"
"Jyväskylä lentoasema AWOS","2024","3","31","16:00","1008","-","3.1","114","2.7","2","92","2.5","3.6","3.1"
"Jyväskylä lentoasema AWOS","2024","3","31","17:00","1007.6","-","3.3","127","2.7","2.4","94","2.3","3","2.7"
"Jyväskylä lentoasema AWOS","2024","3","31","18:00","1007","-","3.4","122","3.1","2.7","94","2","3","2.6"
"Jyväskylä lentoasema AWOS","2024","3","31","19:00","1006.6","-","3.7","133","3.1","2.1","97","1.2","2","1.7"
"Jyväskylä lentoasema AWOS","2024","3","31","20:00","1006","-","2","129","1.8","1.3","97","0.9","1.8","1.3"
"Jyväskylä lentoasema AWOS","2024","3","31","21:00","1005.4","-","3.3","115","2.2","1.7","97","0.1","1.7","0.9"
"Jyväskylä lentoasema AWOS","2024","3","31","22:00","1004.5","-","2.9","97","2.3","2","98","-0.2","1.1","0.5"
"Jyväskylä lentoasema AWOS","2024","3","31","23:00","1003.3","-","3.5","98","2.5","2","99","-0.2","1.2","0.5"
"Jyväskylä lentoasema AWOS","2024","4","1","00:00","1002.2","-","2","83","1.6","1","98","0.5","2.1","1.3"
"Jyväskylä lentoasema AWOS","2024","4","1","01:00","1001.2","-","2.4","54","1.6","1.4","98","2","2.5","2.2"
"Jyväskylä lentoasema AWOS","2024","4","1","02:00","1000.2","-","4","106","2.7","2.1","98","1.8","2.5","2.2"
"Jyväskylä lentoasema AWOS","2024","4","1","03:00","999.4","-","5.8","58","3.8","2.3","98","2","2.6","2.2"
"Jyväskylä lentoasema AWOS","2024","4","1","04:00","998.3","-","4","106","3.3","2.3","98","1.9","2.5","2.2"
"Jyväskylä lentoasema AWOS","2024","4","1","05:00","997.7","-","4.6","117","3.6","2.6","99","1.8","2.2","2"
"Jyväskylä lentoasema AWOS","2024","4","1","06:00","997.2","-","4.7","113","4","2.9","99","1.7","2.2","2"
"Jyväskylä lentoasema AWOS","2024","4","1","07:00","996.4","-","4.3","106","3.6","1.9","100","1.8","2.4","2.2"
"Jyväskylä lentoasema AWOS","2024","4","1","08:00","996.2","-","2.2","109","1.8","1.1","100","2.1","2.7","2.4"
"Jyväskylä lentoasema AWOS","2024","4","1","09:00","996.4","-","2.9","334","2.4","1.5","100","2.5","3","2.7"
"Jyväskylä lentoasema AWOS","2024","4","1","10:00","996.3","-","2.2","25","1.7","1.4","100","2.6","3.4","3.1"
"Jyväskylä lentoasema AWOS","2024","4","1","11:00","995.7","-","2.9","106","2.3","1.7","100","3.2","4.3","3.6"
"Jyväskylä lentoasema AWOS","2024","4","1","12:00","996.4","-","5.5","314","4","2.8","99","3","4.1","3.5"
"Jyväskylä lentoasema AWOS","2024","4","1","13:00","997.3","-","5.9","317","4.2","3.8","96","3.2","4.3","3.7"
"Jyväskylä lentoasema AWOS","2024","4","1","14:00","997.9","-","5.4","322","4.5","3.7","95","3.3","4.2","3.7"
"Jyväskylä lentoasema AWOS","2024","4","1","15:00","998.6","-","4.9","321","3.9","3","96","2.9","3.9","3.2"
"Jyväskylä lentoasema AWOS","2024","4","1","16:00","999.5","-","5.1","322","4.2","3.4","97","2.3","3.3","2.9"
"Jyväskylä lentoasema AWOS","2024","4","1","17:00","1000","-","5.7","335","4.5","3.8","96","2.7","3.2","3"
"Jyväskylä lentoasema AWOS","2024","4","1","18:00","1000.7","-","7.1","327","5","4.2","96","2.4","3.1","2.8"
"Jyväskylä lentoasema AWOS","2024","4","1","19:00","1001.5","-","7","328","4.7","4.2","97","1.7","2.6","2.2"
"Jyväskylä lentoasema AWOS","2024","4","1","20:00","1002.6","-","8.8","332","6.6","5.2","95","1.1","1.7","1.4"
"Jyväskylä lentoasema AWOS","2024","4","1","21:00","1003.7","-","7.5","333","5.2","4.5","94","0.6","1.1","0.8"
"Jyväskylä lentoasema AWOS","2024","4","1","22:00","1004.2","-","8.3","338","5.7","5","93","0.3","0.6","0.5"
"Jyväskylä lentoasema AWOS","2024","4","1","23:00","1004.8","-","8.2","339","6.2","5.1","93","-0.2","0.3","0.1"
"Jyväskylä lentoasema AWOS","2024","4","2","00:00","1005.5","-","8.5","347","5.8","5","94","-0.6","-0.3","-0.5"
"Jyväskylä lentoasema AWOS","2024","4","2","01:00","1006.1","-","6.6","349","4.6","3.9","91","-0.8","-0.5","-0.6"
"Jyväskylä lentoasema AWOS","2024","4","2","02:00","1006.5","-","7.4","1","4.7","4.2","88","-1.2","-0.8","-1"
"Jyväskylä lentoasema AWOS","2024","4","2","03:00","1006.8","-","9.1","8","5.9","5","82","-1.2","-1.2","-1.2"
"Jyväskylä lentoasema AWOS","2024","4","2","04:00","1007.5","-","7.4","12","4.9","4.1","85","-1.3","-1.1","-1.2"
"Jyväskylä lentoasema AWOS","2024","4","2","05:00","1008.3","-","8.4","14","5.6","4.5","88","-1.7","-1.3","-1.5"
"Jyväskylä lentoasema AWOS","2024","4","2","06:00","1008.7","-","7.2","23","5.1","4.5","85","-1.8","-1.5","-1.7"
"Jyväskylä lentoasema AWOS","2024","4","2","07:00","1008.7","-","8.1","28","5.9","4.6","84","-1.8","-1.5","-1.7"
"Jyväskylä lentoasema AWOS","2024","4","2","08:00","1008.7","-","6.3","32","4.5","4","80","-1.5","-1.1","-1.4"
"Jyväskylä lentoasema AWOS","2024","4","2","09:00","1008.8","-","8.5","43","5.6","4.6","77","-1.2","-0.7","-0.9"
"Jyväskylä lentoasema AWOS","2024","4","2","10:00","1009.1","-","8.1","44","5.7","5","77","-1","-0.7","-0.9"
"Jyväskylä lentoasema AWOS","2024","4","2","11:00","1009.1","-","9.2","45","6.2","5.1","75","-0.9","-0.7","-0.8"
"Jyväskylä lentoasema AWOS","2024","4","2","12:00","1008.9","-","8.9","55","6.2","5.6","75","-1.2","-0.8","-1"
"Jyväskylä lentoasema AWOS","2024","4","2","13:00","1008.6","-","9.1","57","6.5","5.7","75","-1.3","-1.1","-1.2"
"Jyväskylä lentoasema AWOS","2024","4","2","14:00","1008.2","-","11","41","7","6","75","-1.6","-1.3","-1.4"
"Jyväskylä lentoasema AWOS","2024","4","2","15:00","1007.8","-","9.9","46","6.7","5.9","74","-1.7","-1.5","-1.5"
"Jyväskylä lentoasema AWOS","2024","4","2","16:00","1007","-","10","44","6.6","5.7","74","-1.7","-1.4","-1.6"
"Jyväskylä lentoasema AWOS","2024","4","2","17:00","1006.4","-","10.5","45","7.4","6.6","73","-2","-1.7","-1.8"
"Jyväskylä lentoasema AWOS","2024","4","2","18:00","1006.5","-","12","52","7.7","6.7","73","-2.3","-2","-2.1"
"Jyväskylä lentoasema AWOS","2024","4","2","19:00","1006.1","-","10.2","50","7.5","6.3","73","-2.5","-2.3","-2.4"
"Jyväskylä lentoasema AWOS","2024","4","2","20:00","1005.5","-","9.2","46","6.6","5.4","72","-2.5","-2.4","-2.5"
"Jyväskylä lentoasema AWOS","2024","4","2","21:00","1004.9","-","10.3","39","6.1","5.3","72","-2.5","-2.4","-2.5"
"Jyväskylä lentoasema AWOS","2024","4","2","22:00","1004","-","9.1","35","6.2","5.6","71","-2.7","-2.5","-2.6"
"Jyväskylä lentoasema AWOS","2024","4","2","23:00","1003.3","-","10.2","33","6.3","5.5","71","-2.8","-2.6","-2.7"
"Jyväskylä lentoasema AWOS","2024","4","3","00:00","1002.5","-","10.7","30","7.1","6","71","-2.9","-2.7","-2.9"
"Jyväskylä lentoasema AWOS","2024","4","3","01:00","1002.3","-","11.4","28","6.9","6.2","71","-3.1","-2.9","-3"
"Jyväskylä lentoasema AWOS","2024","4","3","02:00","1002.1","-","10.4","30","6.2","5.6","71","-3.5","-3.1","-3.3"
"Jyväskylä lentoasema AWOS","2024","4","3","03:00","1001.9","-","10.7","27","6.4","6","71","-3.8","-3.4","-3.6"
"Jyväskylä lentoasema AWOS","2024","4","3","04:00","1001.6","-","11.7","23","8","6.5","72","-4.1","-3.7","-3.9"
"Jyväskylä lentoasema AWOS","2024","4","3","05:00","1001.1","-","11.2","23","8","6.7","72","-4.2","-4.1","-4.1"
"Jyväskylä lentoasema AWOS","2024","4","3","06:00","1001","-","11.9","20","8.1","6.6","72","-4.2","-4","-4.1"
"Jyväskylä lentoasema AWOS","2024","4","3","07:00","1000.8","-","10.7","12","6.9","6.3","71","-4.1","-3.9","-4"
"Jyväskylä lentoasema AWOS","2024","4","3","08:00","1000.7","-","10.8","18","7.3","6","71","-3.9","-3.4","-3.7"
"Jyväskylä lentoasema AWOS","2024","4","3","09:00","1000.8","-","10.7","7","7.3","6.6","69","-3.6","-3.1","-3.4"
"Jyväskylä lentoasema AWOS","2024","4","3","10:00","1000.9","-","11.5","3","7.7","6.8","68","-3.4","-3.2","-3.3"
"Jyväskylä lentoasema AWOS","2024","4","3","11:00","1001.3","-","12.2","4","7.8","7.2","69","-3.7","-3.3","-3.5"
"Jyväskylä lentoasema AWOS","2024","4","3","12:00","1001.7","-","12.2","3","8.1","7","68","-3.8","-3.2","-3.5"
"Jyväskylä lentoasema AWOS","2024","4","3","13:00","1002","-","12.2","5","8.1","7.4","61","-3.2","-2.5","-2.8"
"Jyväskylä lentoasema AWOS","2024","4","3","14:00","1002.6","-","12.1","6","8.1","6.8","57","-2.6","-2.3","-2.5"
"Jyväskylä lentoasema AWOS","2024","4","3","15:00","1003.5","-","13.6","10","8.1","7.2","59","-3.1","-2.5","-2.7"
"Jyväskylä lentoasema AWOS","2024","4","3","16:00","1004.3","-","13","13","7.7","6.7","63","-3.2","-3","-3.1"
"Jyväskylä lentoasema AWOS","2024","4","3","17:00","1005.1","-","11.3","19","7.4","6","57","-3","-2.8","-2.9"
"Jyväskylä lentoasema AWOS","2024","4","3","18:00","1006","-","11.7","10","7.2","5.6","56","-3","-2.8","-2.9"
"Jyväskylä lentoasema AWOS","2024","4","3","19:00","1007.1","-","12.7","10","8.3","7.3","57","-3.7","-3","-3.3"
"Jyväskylä lentoasema AWOS","2024","4","3","20:00","1008","-","12.6","9","7.9","6.9","57","-4.2","-3.6","-3.9"
"Jyväskylä lentoasema AWOS","2024","4","3","21:00","1008.7","-","11.6","14","8.1","6.5","53","-4.7","-4.2","-4.5"
"Jyväskylä lentoasema AWOS","2024","4","3","22:00","1009.4","-","11.5","359","8","6.6","55","-6.2","-4.7","-5.4"
"Jyväskylä lentoasema AWOS","2024","4","3","23:00","1010.4","-","8.4","355","5.7","4.8","54","-7","-6.2","-6.6"
"Jyväskylä lentoasema AWOS","2024","4","4","00:00","1011.1","-","6.5","352","4.9","4.1","55","-7.7","-7","-7.4"
"Jyväskylä lentoasema AWOS","2024","4","4","01:00","1011.9","-","6.3","348","4.3","3.9","58","-8.7","-7.7","-8.2"
"Jyväskylä lentoasema AWOS","2024","4","4","02:00","1012.6","-","6.2","346","4.2","3.8","61","-9.5","-8.7","-9"
"Jyväskylä lentoasema AWOS","2024","4","4","03:00","1013.4","-","5.3","344","3.6","3.3","63","-9.7","-9.3","-9.5"
"Jyväskylä lentoasema AWOS","2024","4","4","04:00","1014.2","-","5.1","344","3.6","3.1","65","-10.1","-9.5","-9.8"
"Jyväskylä lentoasema AWOS","2024","4","4","05:00","1014.8","-","5.4","343","3.7","3.5","65","-10.1","-9.4","-9.8"
"Jyväskylä lentoasema AWOS","2024","4","4","06:00","1015.6","-","6.3","346","4.5","3.9","60","-9.4","-7.8","-8.7"
"Jyväskylä lentoasema AWOS","2024","4","4","07:00","1016.1","-","6.7","353","4.4","3.9","52","-7.9","-6.2","-7"
"Jyväskylä lentoasema AWOS","2024","4","4","08:00","1016.7","-","9.9","6","5.9","5.1","43","-6.2","-4.8","-5.5"
"Jyväskylä lentoasema AWOS","2024","4","4","09:00","1017.4","-","9","3","6.2","5.5","36","-5.1","-4","-4.4"
"Jyväskylä lentoasema AWOS","2024","4","4","10:00","1017.8","-","7","358","5","4.4","33","-4.4","-3.3","-3.8"
"Jyväskylä lentoasema AWOS","2024","4","4","11:00","1018.3","-","6.1","17","4.3","3.8","31","-3.7","-2.8","-3.3"
"Jyväskylä lentoasema AWOS","2024","4","4","12:00","1018.5","-","6.6","19","4.6","3.5","31","-3.4","-2.3","-2.8"
"Jyväskylä lentoasema AWOS","2024","4","4","13:00","1018.8","-","6.3","34","4.1","3.3","31","-2.7","-2.1","-2.4"
"Jyväskylä lentoasema AWOS","2024","4","4","14:00","1019","-","6.7","11","3.7","3.1","28","-2.3","-1.8","-2.1"
"Jyväskylä lentoasema AWOS","2024","4","4","15:00","1019.3","-","5.8","352","3.7","2.8","28","-2.1","-1.7","-1.9"
"Jyväskylä lentoasema AWOS","2024","4","4","16:00","1019.5","-","4.9","3","3.4","2.8","28","-2.3","-1.8","-2.1"
"Jyväskylä lentoasema AWOS","2024","4","4","17:00","1019.8","-","4.4","48","3.3","2.6","31","-3.3","-2.3","-2.7"
"Jyväskylä lentoasema AWOS","2024","4","4","18:00","1020.2","-","3.4","45","2.7","1.9","34","-4.4","-3.2","-3.7"
"Jyväskylä lentoasema AWOS","2024","4","4","19:00","1020.7","-","1.5","344","1.4","0.9","46","-6.6","-4.3","-5.6"
